primary_genre,type,count
Action & Adventure,Movie,859
Anime Features,Movie,21
Anime Series,TV Show,176
British TV Shows,TV Show,253
Children & Family Movies,Movie,605
Classic & Cult TV,TV Show,22
Classic Movies,Movie,80
Comedies,Movie,1210
Crime TV Shows,TV Show,399
Cult Movies,Movie,12
Documentaries,Movie,829
Docuseries,TV Show,221
Dramas,Movie,1600
Horror Movies,Movie,275
Independent Movies,Movie,20
International Movies,Movie,128
International TV Shows,TV Show,774
Kids' TV,TV Show,388
LGBTQ Movies,Movie,1
Movies,Movie,57
Music & Musicals,Movie,18
Reality TV,TV Show,120
Romantic Movies,Movie,3
Romantic TV Shows,TV Show,32
Sci-Fi & Fantasy,Movie,13
Spanish-Language TV Shows,TV Show,2
Sports Movies,Movie,1
Stand-Up Comedy,Movie,334
Stand-Up Comedy & Talk Shows,TV Show,34
TV Action & Adventure,TV Show,40
TV Comedies,TV Show,120
TV Dramas,TV Show,67
TV Horror,TV Show,11
TV Sci-Fi & Fantasy,TV Show,1
TV Shows,TV Show,16
Thrillers,Movie,65
